cnpj_fundo,forecast,porc_cdi,apr,mse,mae
36.617.853/0001-14,1.0556065605129217,1.0488477857318392,BOM,0.00017142086570237197,0.009446336106021167
40.063.576/0001-12,1.0549543628177336,1.048199763889189,BOM,2.1301259732899432e-05,0.003761660115152409
32.159.294/0001-95,1.0548945730516581,1.0481403569414647,BOM,0.008991700370233535,0.03119426283389883
43.806.723/0001-95,1.054395635795778,1.0476446142513145,BOM,7.292072137464618e-06,0.002048012485819948
37.262.972/0001-64,1.0543448646396925,1.0475941681697616,BOM,3.888323974147328e-05,0.005129522233199239
23.781.755/0001-76,1.0540681956063376,1.0473192705764065,BOM,0.0003556682194399556,0.009372851230032292
26.262.377/0001-02,1.0524005452104395,1.0456622977130865,BOM,2.8571152860183863e-05,0.004295921027710407
47.313.385/0001-00,1.0521602805384394,1.0454235713934106,BOM,9.02656091956819e-05,0.00187828939492735
42.014.125/0001-10,1.0520487881665008,1.0453127928781871,BOM,7.623332725652479e-05,0.004545528967401384
42.014.125/0001-10,1.0520487881665008,1.0453127928781871,BOM,7.623332725652479e-05,0.004545528967401384
35.939.847/0001-10,1.050788410281139,1.0440604848652426,BOM,0.00047458238826143464,0.01660847115678608
17.095.784/0001-81,1.0500469346165495,1.0433237566768532,BOM,0.0003967013594795562,0.004662398532283429
31.660.364/0001-21,1.0495470204676929,1.0428270433485185,BOM,0.0001194876669888809,0.005277998347105764
43.860.077/0001-44,1.0495079362610693,1.0427882093879242,BOM,1.6425498918845378e-05,0.0012747373135040322
15.154.236/0001-50,1.049354643406774,1.0426358980279813,BOM,8.349576800862115e-05,0.007448229844149551
29.492.992/0001-01,1.04906744387517,1.0423505373604238,BOM,1.6807627022411118e-07,0.0001933119819474937
42.831.101/0001-54,1.047473225944774,1.0407665267935917,BOM,2.6965698516331416e-05,0.0020855168687357543
04.895.210/0001-46,1.0473920528065972,1.0406858733859468,BOM,0.0007866481524569591,0.01831251267290607
03.230.512/0001-32,1.047365507704598,1.0406594982453448,BOM,0.000942662196108622,0.011788322794457549
03.230.512/0001-32,1.047365507704598,1.0406594982453448,BOM,0.000942662196108622,0.011788322794457549
17.488.514/0001-30,1.047069743792643,1.0403656280329405,BOM,0.00016052452409877804,0.004948688888422454
35.727.340/0001-01,1.046994522776787,1.0402908886377222,BOM,0.0004891693863823503,0.017086078309836245
23.686.472/0001-45,1.046830975820492,1.040128388830133,BOM,0.00021197404376124859,0.004532719685660288
36.326.860/0001-67,1.0462283884440635,1.0395296596642496,BOM,0.00025194138763569627,0.012734921219768224
36.346.391/0001-48,1.0448331919508016,1.0381433962519537,BOM,0.0002927116979906388,0.00857918048875192
42.449.426/0001-77,1.044503438437596,1.0378157540648922,BOM,0.0001553832922967601,0.004613217470959799
41.610.584/0001-02,1.0444097666767316,1.0377226820599963,BOM,0.000173075991688693,0.004664373772765684
41.799.581/0001-50,1.0443707523633194,1.0376839175451051,BOM,0.00017550749938103987,0.004688384297141779
35.505.035/0001-67,1.0443339186056633,1.0376473196244376,BOM,0.00010032321509325184,0.00820492696332854
35.505.035/0001-67,1.0443339186056633,1.0376473196244376,BOM,0.00010032321509325184,0.00820492696332854
37.319.496/0001-70,1.0443283903919718,1.0376418268064633,BOM,0.0002110886296796676,0.004735978714950212
15.505.231/0001-24,1.04429792417642,1.037611555658181,BOM,0.0028090997305137717,0.025287140826447486
23.884.636/0001-49,1.0442975654098878,1.0376111991887378,BOM,0.0002100763615557355,0.004728561806611066
20.216.083/0001-68,1.0441269526873647,1.0374416788551875,BOM,0.0002495976272729727,0.013071206944599623
